bill_code,name,category_id,barcode,tax_id,mrp,selling_price,cost_price,landing_cost,stock_qty
5100100,TOOTH PICK,HOME APPLIENCES,9000000010017,GST 18%,130,100,67,67,45
5200750,TISSUE BOX,HOME APPLIENCES,9000000020016,GST 18%,900,750,306,306,12
5301400,SS STEP BIN,HOME APPLIENCES,9000000030015,GST 12%,1499,1400,924,924,2
5402250,SS DUST BIN,DUST BIN,9000000040014,GST 12%,2399,2250,1465,1465,2
5502550,SS STEP BIN,DUST BIN,9000000050013,GST 12%,2750,2550,1370,1370,4
5600580,SOAP DISPENSAR ,HOME APPLIENCES,9000000060012,GST 18%,599,580,312,312,6
5700580,SOAP DISPENSAR ,HOME APPLIENCES,9000000070011,GST 18%,599,580,312,312,6
5800590,SOAP DISPENSAR ,HOME APPLIENCES,9000000080010,GST 18%,599,590,479,479,6
5900430,SOAP DISPENSAR ,HOME APPLIENCES,9000000090019,GST 18%,449,430,237,237,6
6000555,SOAP DISPENSAR ,HOME APPLIENCES,9000000100015,GST 18%,599,555,315,315,10
6100185,SHAMPOOO CONTAINER,HOME APPLIENCES,9000000110014,GST 18%,220,185,95,95,1
6200400,SS LUNCH BOX,LUNCH BOX,9000000120013,GST 12%,510,400,255,255,9
6300385,SS LUNCH BOX,LUNCH BOX,9000000130012,GST 12%,490,385,232,232,9
6400145,SOAP CASE,HOME APPLIENCES,9000000140011,GST 18%,205,145,83,83,17
6500110,SOAP CASE,HOME APPLIENCES,9000000150010,GST 18%,165,110,60,60,3
6601120,SS LUNCH BOX,LUNCH BOX,9000000160019,GST 12%,1310,1120,590,590,3
6700600,SHAMPOO DISPENSOR,HOME APPLIENCES,9000000170018,GST 18%,789,600,232,232,12
12345678,SCHOOLBAG,BAGS,9000000180017,GST 18%,500,450,300,300,0
1000580,SCHOOL BAG,BAGS,9000000190016,GST 18%,700,580,310,310,10
9000095,HAND PURSE ,BAGS,9000000200012,GST 18%,120,95,55,55,13
2000415,SCHOOL BAG,BAGS,9000000210011,GST 18%,505,415,230,230,2
1000165,HAND PURSE,BAGS,9000000220010,GST 18%,200,165,90,90,2
1100160,HAND PURSE,BAGS,9000000230019,GST 18%,195,160,85,85,1
3000685,SCHOOL BAG,BAGS,9000000240018,GST 18%,825,685,380,380,1
1200325,HAND PURSE,BAGS,9000000250017,GST 18%,415,325,180,180,5
4001045,SCHOOL BAG,BAGS,9000000260016,GST 18%,1230,1045,580,580,0
1300200,HAND PURSE,BAGS,9000000270015,GST 18%,240,200,110,110,1
5000955,SCHOOL BAG,BAGS,9000000280014,GST 18%,1170,955,530,530,1
1400245,HAND PURSE,BAGS,9000000290013,GST 18%,325,245,135,135,2
6000415,SCHOOL BAG,BAGS,9000000300019,GST 18%,505,415,230,230,0
1500360,HAND PURSE,BAGS,9000000310018,GST 18%,410,360,200,200,2
7000505,SCHOOL BAG,BAGS,9000000320017,GST 18%,630,505,280,280,-6
1600200,HAND PURSE,BAGS,9000000330016,GST 18%,250,200,110,110,8
8000390,SCHOOL BAG,BAGS,9000000340015,GST 18%,470,390,215,215,2
1700165,HAND PURSE,BAGS,9000000350014,GST 18%,205,165,90,90,2
1800270,HAND PURSE,BAGS,9000000360013,GST 18%,320,270,150,150,5
1900180,HAND PURSE,BAGS,9000000370012,GST 18%,225,180,100,100,0
2000165,HAND PURSE,BAGS,9000000380011,GST 18%,205,165,90,90,5
2100235,HAND PURSE,BAGS,9000000390010,GST 18%,285,235,130,130,0
