suppliername,invoiceno,taxtype,gst(y/n),itemname,qty,cp,mrp,sp,framemultipletype(y/n),frametype,framecolour,framesize,framemodel
OLD_STOCK_SUPPLIER,20-21-01,Inclusive,Y,D AND K PLUS,15,200,1380,1380,N,NONE,NONE,NONE,D&K PLUS
OLD_STOCK_SUPPLIER,20-21-01,Inclusive,Y,GLOBUS,6,200,1780,1780,N,NONE,NONE,NONE,GFD 12034
OLD_STOCK_SUPPLIER,20-21-01,Inclusive,Y,BIGBOSS,7,200,1600,1600,N,NONE,NONE,NONE,BIGBOSS
OLD_STOCK_SUPPLIER,20-21-01,Inclusive,Y,MORANGIE,2,200,2400,2400,N,NONE,NONE,NONE,MR 1518
OLD_STOCK_SUPPLIER,20-21-01,Inclusive,Y,MORANGIE,4,200,2600,2600,N,NONE,NONE,NONE,MR 1520
OLD_STOCK_SUPPLIER,20-21-01,Inclusive,Y,BLUEBERRY,7,200,800,800,N,NONE,NONE,NONE,BLUEBERRY
OLD_STOCK_SUPPLIER,20-21-01,Inclusive,Y,GOLDSTAR,1,200,560,560,N,NONE,NONE,NONE,V 1204
OLD_STOCK_SUPPLIER,20-21-01,Inclusive,Y,ROAR ,1,200,2200,2200,N,NONE,NONE,NONE,R 1005
OLD_STOCK_SUPPLIER,20-21-01,Inclusive,Y,GLOBUS,5,200,2330,2330,N,NONE,NONE,NONE,GFD 12007
OLD_STOCK_SUPPLIER,20-21-01,Inclusive,Y,CLEVER BR,3,200,980,980,N,NONE,NONE,NONE,C 01/03
OLD_STOCK_SUPPLIER,20-21-01,Inclusive,Y,KADIYAM,2,200,2900,2900,N,NONE,NONE,NONE,MOD 57050
OLD_STOCK_SUPPLIER,20-21-01,Inclusive,Y,SIZZLER,2,200,2500,2500,N,NONE,NONE,NONE,SIZ 9802
OLD_STOCK_SUPPLIER,20-21-01,Inclusive,Y,THOUGHT,2,200,880,880,N,NONE,NONE,NONE,82101
OLD_STOCK_SUPPLIER,20-21-01,Inclusive,Y,SKY PREMIUM,8,200,1380,1380,N,NONE,NONE,NONE,SKY PREMIUM
OLD_STOCK_SUPPLIER,20-21-01,Inclusive,Y,GLOBUS,2,200,1380,1380,N,NONE,NONE,NONE,T 9011
OLD_STOCK_SUPPLIER,20-21-01,Inclusive,Y,ROAR ,2,200,2200,2200,N,NONE,NONE,NONE,7812/14
OLD_STOCK_SUPPLIER,20-21-01,Inclusive,Y,AZZUOO,2,200,1480,1480,N,NONE,NONE,NONE,AZZUOO
OLD_STOCK_SUPPLIER,20-21-01,Inclusive,Y,SPECSI,7,200,1600,1600,N,NONE,NONE,NONE,MOD 6102/04
OLD_STOCK_SUPPLIER,20-21-01,Inclusive,Y,ACCOMPANY,12,200,880,880,N,NONE,NONE,NONE,ACCOMPANY
OLD_STOCK_SUPPLIER,20-21-01,Inclusive,Y,HIGH BELIEVE,5,200,1200,1200,N,NONE,NONE,NONE,HIGH BELIEVE
OLD_STOCK_SUPPLIER,20-21-01,Inclusive,Y,GOLDSTAR,9,200,980,980,N,NONE,NONE,NONE,19323
OLD_STOCK_SUPPLIER,20-21-01,Inclusive,Y,D G LENS BR,8,200,850,850,N,NONE,NONE,NONE,D G LENS BR
OLD_STOCK_SUPPLIER,20-21-01,Inclusive,Y,RUDY BOYS,2,200,750,750,N,NONE,NONE,NONE,8302
OLD_STOCK_SUPPLIER,20-21-01,Inclusive,Y,JIMONIKI,3,200,750,750,N,NONE,NONE,NONE,JIMONIKI
OLD_STOCK_SUPPLIER,20-21-01,Inclusive,Y,SIXTEEN,7,200,780,780,N,NONE,NONE,NONE,SIXTEEN
OLD_STOCK_SUPPLIER,20-21-01,Inclusive,Y,PRINCESSDIANA,6,200,980,980,N,NONE,NONE,NONE,PRINCESSDIANA
OLD_STOCK_SUPPLIER,20-21-01,Inclusive,Y,POWERFULL,3,200,1100,1100,N,NONE,NONE,NONE,POWERFULL
