suppliername,invoiceno,taxtype,gst(y/n),itemname,qty,cp,mrp,sp,framemultipletype(y/n),frametype,framecolour,framesize,framemodel
OLD_STOCK_SUPPLIER,20-20-01,Inclusive,Y,VOGUE,1,200,5590,5590,N,SHELL,NONE,NONE,VO5331
OLD_STOCK_SUPPLIER,20-20-01,Inclusive,N,VOGUE,1,200,5990,5990,N,SHELL,NONE,NONE,VO5313
OLD_STOCK_SUPPLIER,20-20-01,Inclusive,Y,VOGUE,1,200,5090,5090,N,SHELL,NONE,NONE,VO2961
OLD_STOCK_SUPPLIER,20-20-01,Inclusive,Y,CARRERA,1,200,7400,7400,N,SHELL,NONE,NONE,CA8800
OLD_STOCK_SUPPLIER,20-20-01,Inclusive,Y,RAYBAN,1,200,7590,7590,N,SHELL SUPRA,NONE,NONE,RB4419
OLD_STOCK_SUPPLIER,20-20-01,Inclusive,Y,RAYBAN,1,200,7590,7590,N,SHELL,NONE,NONE,RB7078
OLD_STOCK_SUPPLIER,20-20-01,Inclusive,Y,VOGUE,1,200,4990,4990,N,SHELL,NONE,NONE,VO5326
OLD_STOCK_SUPPLIER,20-20-01,Inclusive,Y,RAYBAN,1,200,10190,10190,N,SHELL,NONE,NONE,RB8905
OLD_STOCK_SUPPLIER,20-20-01,Inclusive,Y,VOGUE,1,200,5990,5990,N,METAL SUPRA,NONE,NONE,VO4120
OLD_STOCK_SUPPLIER,20-20-01,Inclusive,Y,VOGUE,1,200,5490,5490,N,SHELL,NONE,NONE,VO5223
OLD_STOCK_SUPPLIER,20-20-01,Inclusive,Y,VOGUE,1,200,4390,4390,N,SUPRA,NONE,NONE,VO4053
OLD_STOCK_SUPPLIER,20-20-01,Inclusive,Y,VOGUE,1,200,5490,5490,N,SHELL,NONE,NONE,VO5332
OLD_STOCK_SUPPLIER,20-20-01,Inclusive,Y,VOGUE,1,200,4990,4990,N,SHELL,NONE,NONE,VO5268
OLD_STOCK_SUPPLIER,20-20-01,Inclusive,Y,VOGUE,1,200,6090,6090,N,SHELL,NONE,NONE,VO5314
OLD_STOCK_SUPPLIER,20-20-01,Inclusive,Y,AZZARO,1,200,6690,6690,N,SHELL,NONE,NONE,A250379
OLD_STOCK_SUPPLIER,20-20-01,Inclusive,Y,VOGUE,1,200,3790,3790,N,SHELL,NONE,NONE,VO5011
OLD_STOCK_SUPPLIER,20-20-01,Inclusive,Y,VOGUE,1,200,5990,5990,N,SHELL,NONE,NONE,VO4103
OLD_STOCK_SUPPLIER,20-20-01,Inclusive,Y,VOGUE,1,200,6090,6090,N,SHELL,NONE,NONE,VO5314
OLD_STOCK_SUPPLIER,20-20-01,Inclusive,Y,VOGUE,1,200,3490,3490,N,SHELL,NONE,NONE,VO2925
OLD_STOCK_SUPPLIER,20-20-01,Inclusive,Y,VOGUE,1,200,3790,3790,N,SUPRA,NONE,NONE,VO4003
OLD_STOCK_SUPPLIER,20-20-01,Inclusive,Y,RAYBAN,1,200,8090,8090,N,SHELL,NONE,NONE,RB5279
OLD_STOCK_SUPPLIER,20-20-01,Inclusive,Y,RAYBAN,1,200,5190,5190,N,SUPRA,NONE,NONE,RB64431
OLD_STOCK_SUPPLIER,20-20-01,Inclusive,Y,RAYBAN,1,200,8090,8090,N,SHELL,NONE,NONE,RB2185
